action_id,trigger_type,trigger_id,action_type,start_date,owner_dept,supplier_response_date,expected_effect_metric
A000000040,defect,D000000469,containment,2025-12-13,Quality,2025-12-16,ppm_drop
A000000041,defect,D000000466,preventive,2025-12-12,Production,,ppm_drop
A000000042,defect,D000000465,containment,2025-12-10,R&D,2025-12-18,oos_drop
A000000043,defect,D000000478,containment,2025-12-13,R&D,2025-12-18,oos_drop
A000000044,defect,D000000485,corrective,2025-12-18,ManufacturingEng,2025-12-21,ppm_drop
A000000045,defect,D000000502,preventive,2025-12-20,Production,2025-12-25,ppm_drop
A000000046,defect,D000000075,preventive,2025-07-29,R&D,2025-08-07,oos_drop
A000000047,defect,D000000513,corrective,2025-12-23,R&D,2025-12-31,ppm_drop
A000000048,defect,D000000511,containment,2025-12-22,ManufacturingEng,2025-12-30,oos_drop
A000000049,defect,D000000085,preventive,2025-08-02,R&D,2025-08-06,oos_drop
A000000050,defect,D000000525,containment,2025-12-27,Production,2026-01-03,oos_drop
A000000051,defect,D000000417,corrective,2025-11-26,Production,2025-12-07,ppm_drop
A000000052,defect,D000000419,preventive,2025-11-29,Production,,oos_drop
A000000053,defect,D000000408,corrective,2025-11-23,Quality,2025-11-27,ppm_drop
A000000054,defect,D000000103,containment,2025-08-08,Quality,,oos_drop
A000000055,defect,D000000423,corrective,2025-11-27,ManufacturingEng,2025-12-04,ppm_drop
A000000056,defect,D000000440,containment,2025-12-03,Quality,2025-12-09,ppm_drop
A000000057,defect,D000000452,containment,2025-12-05,Quality,,ppm_drop
A000000058,defect,D000000375,corrective,2025-11-17,ManufacturingEng,2025-11-20,ppm_drop
A000000059,defect,D000000397,containment,2025-11-22,Quality,2025-11-29,ppm_drop
A000000060,defect,D000000391,containment,2025-11-19,Quality,2025-11-25,ppm_drop
A000000061,defect,D000000379,corrective,2025-11-15,Production,,oos_drop
A000000062,defect,D000000372,corrective,2025-11-14,SupplierQuality,,oos_drop
A000000063,defect,D000000159,containment,2025-08-23,Production,2025-08-30,ppm_drop
A000000064,defect,D000000366,preventive,2025-11-14,Production,,ppm_drop
A000000065,defect,D000000361,preventive,2025-11-08,SupplierQuality,2025-11-10,ppm_drop
A000000066,defect,D000000365,preventive,2025-11-11,R&D,2025-11-17,oos_drop
A000000067,defect,D000000373,corrective,2025-11-14,SupplierQuality,2025-11-22,ppm_drop
A000000068,defect,D000000360,corrective,2025-11-08,ManufacturingEng,2025-11-16,oos_drop
A000000069,defect,D000000145,corrective,2025-08-21,SupplierQuality,2025-08-28,ppm_drop
A000000070,defect,D000000143,containment,2025-08-19,Quality,2025-08-21,ppm_drop
A000000071,defect,D000000353,containment,2025-11-10,ManufacturingEng,,ppm_drop
A000000072,defect,D000000403,containment,2025-11-25,ManufacturingEng,2025-12-06,scrap_cost_drop
A000000073,defect,D000000406,containment,2025-11-25,SupplierQuality,2025-12-04,oos_drop
A000000074,defect,D000000128,containment,2025-08-15,R&D,,ppm_drop
A000000075,defect,D000000453,containment,2025-12-10,SupplierQuality,2025-12-19,oos_drop
A000000076,defect,D000000327,corrective,2025-11-01,Production,,ppm_drop
A000000077,defect,D000000324,corrective,2025-11-01,Quality,2025-11-07,ppm_drop
A000000078,defect,D000000349,containment,2025-11-09,Production,2025-11-20,oos_drop
A000000079,defect,D000000345,containment,2025-11-07,Production,2025-11-14,ppm_drop
A000000080,defect,D000000183,corrective,2025-08-29,ManufacturingEng,2025-09-08,ppm_drop
A000000081,defect,D000000194,containment,2025-09-05,Quality,2025-09-09,scrap_cost_drop
A000000082,defect,D000000307,corrective,2025-10-21,R&D,2025-10-27,ppm_drop
A000000083,defect,D000000301,containment,2025-10-19,Production,2025-10-26,scrap_cost_drop
A000000084,defect,D000000191,corrective,2025-09-02,Production,,ppm_drop
A000000085,defect,D000000277,containment,2025-10-12,ManufacturingEng,2025-10-21,ppm_drop
A000000086,defect,D000000280,containment,2025-10-14,SupplierQuality,2025-10-20,ppm_drop
A000000087,defect,D000000264,preventive,2025-10-06,Quality,2025-10-12,scrap_cost_drop
A000000088,defect,D000000273,containment,2025-10-14,Quality,2025-10-18,ppm_drop
A000000089,defect,D000000269,preventive,2025-10-09,Quality,2025-10-14,ppm_drop
A000000090,defect,D000000270,preventive,2025-10-09,ManufacturingEng,2025-10-11,scrap_cost_drop
A000000091,defect,D000000185,corrective,2025-09-03,Quality,2025-09-09,scrap_cost_drop
A000000092,defect,D000000190,corrective,2025-09-05,ManufacturingEng,2025-09-15,oos_drop
A000000093,defect,D000000193,containment,2025-09-03,SupplierQuality,,oos_drop
A000000094,defect,D000000296,corrective,2025-10-19,SupplierQuality,2025-10-23,ppm_drop
A000000095,defect,D000000252,corrective,2025-09-29,Quality,2025-10-10,ppm_drop
A000000096,defect,D000000260,preventive,2025-10-04,Production,2025-10-15,ppm_drop
A000000097,defect,D000000246,preventive,2025-09-27,ManufacturingEng,2025-10-08,ppm_drop
A000000098,defect,D000000228,corrective,2025-09-15,SupplierQuality,2025-09-22,oos_drop
A000000099,defect,D000000224,containment,2025-09-17,Quality,2025-09-27,ppm_drop
A000000100,defect,D000000210,containment,2025-09-11,ManufacturingEng,2025-09-13,oos_drop
A000000101,defect,D000000234,containment,2025-09-23,SupplierQuality,2025-09-30,ppm_drop
A000000102,defect,D000000611,containment,2026-01-30,SupplierQuality,2026-02-03,ppm_drop
A000000103,defect,D000000199,containment,2025-09-03,Quality,2025-09-10,ppm_drop
A000000104,defect,D000000612,containment,2026-01-30,Quality,2026-02-09,scrap_cost_drop
A000000105,defect,D000000613,preventive,2026-01-29,SupplierQuality,2026-02-05,ppm_drop
A000000106,defect,D000000034,corrective,2025-07-12,Production,2025-07-14,oos_drop
A000000107,defect,D000000026,containment,2025-07-09,Quality,2025-07-17,ppm_drop
A000000108,defect,D000000038,containment,2025-07-17,ManufacturingEng,2025-07-27,scrap_cost_drop
A000000109,defect,D000000027,containment,2025-07-12,R&D,2025-07-16,ppm_drop
A000000110,defect,D000000015,corrective,2025-07-06,Quality,,oos_drop
A000000111,defect,D000000021,containment,2025-07-10,SupplierQuality,2025-07-18,ppm_drop
A000000112,defect,D000000012,preventive,2025-07-05,ManufacturingEng,2025-07-09,scrap_cost_drop
A000000113,defect,D000000052,corrective,2025-07-19,Production,2025-07-28,ppm_drop
A000000114,defect,D000000541,corrective,2026-01-03,Quality,2026-01-08,ppm_drop
A000000115,defect,D000000542,containment,2026-01-07,Quality,2026-01-13,ppm_drop
A000000116,defect,D000000528,preventive,2025-12-31,Quality,2026-01-02,scrap_cost_drop
A000000117,defect,D000000533,containment,2026-01-02,Production,2026-01-11,oos_drop
A000000118,defect,D000000534,corrective,2026-01-04,ManufacturingEng,2026-01-15,scrap_cost_drop
A000000119,defect,D000000100,containment,2025-08-09,ManufacturingEng,,oos_drop
A000000120,defect,D000000102,corrective,2025-08-11,SupplierQuality,2025-08-22,ppm_drop
A000000121,defect,D000000522,corrective,2025-12-25,Production,2026-01-04,oos_drop
A000000122,defect,D000000523,containment,2025-12-25,SupplierQuality,2025-12-30,ppm_drop
A000000123,defect,D000000524,corrective,2025-12-25,Production,2026-01-03,ppm_drop
A000000124,defect,D000000215,corrective,2025-09-10,Production,2025-09-20,ppm_drop
A000000125,defect,D000000216,preventive,2025-09-13,SupplierQuality,,ppm_drop
A000000126,eo,EO001,countermeasure,2025-07-26,Quality,,test_pass_rate_up
A000000127,eo,EO002,countermeasure,2025-08-16,Quality,,test_pass_rate_up
A000000128,eo,EO003,validation_test,2025-10-14,AQIP,,issue_closure_time_drop
A000000129,eo,EO004,validation_test,2025-11-06,AQIP,,ppm_drop
A000000130,eo,EO005,benchmark,2025-11-23,Quality,,test_pass_rate_up
A000000131,eo,EO006,benchmark,2025-12-16,AQIP,,issue_closure_time_drop
