lot_id,date,plant_line,shift,part_id,supplier_id,qty_received,qty_used
L0000186,2025-07-08,BodyLine-2,B,P0016,S007,129,91
L0000187,2025-07-08,Final-1,A,P0014,S003,447,344
L0000188,2025-07-08,BodyLine-1,A,P0005,S001,229,224
L0000189,2025-07-08,BodyLine-1,A,P0019,S006,461,390
L0000190,2025-07-08,ChassisLine-1,B,P0013,S007,239,223
L0000191,2025-07-08,TrimLine-1,B,P0002,S010,381,295
L0000192,2025-07-08,TrimLine-1,C,P0027,S005,132,119
L0000193,2025-07-08,ChassisLine-1,C,P0017,S001,462,448
L0000194,2025-07-08,TrimLine-1,A,P0018,S001,513,417
L0000195,2025-07-09,BodyLine-2,B,P0009,S011,278,270
L0000196,2025-07-09,ChassisLine-1,B,P0008,S007,382,348
L0000197,2025-07-09,Final-1,B,P0002,S010,135,112
L0000198,2025-07-09,Final-1,A,P0024,S002,161,138
L0000199,2025-07-09,TrimLine-1,B,P0014,S003,367,329
L0000200,2025-07-09,ChassisLine-1,B,P0032,S005,123,97
L0000201,2025-07-09,Final-1,B,P0018,S001,473,342
L0000202,2025-07-09,BodyLine-1,A,P0035,S005,278,204
L0000203,2025-07-09,BodyLine-1,A,P0033,S001,397,369
L0000204,2025-07-09,Final-1,A,P0029,S008,161,141
L0000205,2025-07-09,ChassisLine-1,B,P0028,S003,132,127
L0000206,2025-07-09,TrimLine-1,B,P0023,S004,239,229
L0000207,2025-07-09,Final-1,B,P0006,S009,440,349
L0000208,2025-07-09,BodyLine-1,B,P0034,S006,384,328
L0000209,2025-07-09,Final-1,B,P0030,S009,300,264
L0000210,2025-07-09,BodyLine-1,A,P0005,S001,295,266
L0000211,2025-07-09,BodyLine-2,A,P0026,S012,183,172
L0000212,2025-07-09,BodyLine-2,A,P0016,S007,308,279
L0000213,2025-07-09,ChassisLine-1,C,P0017,S001,293,208
L0000214,2025-07-09,BodyLine-2,B,P0003,S007,407,310
L0000215,2025-07-09,BodyLine-2,B,P0019,S006,317,229
L0000216,2025-07-09,BodyLine-1,B,P0010,S005,148,104
L0000217,2025-07-09,TrimLine-1,B,P0025,S010,189,183
L0000218,2025-07-09,Final-1,B,P0011,S011,290,231
L0000219,2025-07-09,ChassisLine-1,A,P0015,S008,515,366
L0000220,2025-07-09,TrimLine-1,B,P0001,S001,355,251
L0000221,2025-07-10,ChassisLine-1,A,P0022,S012,279,262
L0000222,2025-07-10,TrimLine-1,A,P0030,S009,429,316
L0000223,2025-07-10,TrimLine-1,A,P0024,S002,213,201
L0000224,2025-07-10,ChassisLine-1,A,P0036,S003,252,208
L0000225,2025-07-10,Final-1,B,P0011,S011,292,224
L0000226,2025-07-10,TrimLine-1,C,P0014,S003,221,176
L0000227,2025-07-10,ChassisLine-1,A,P0015,S008,362,289
L0000228,2025-07-10,ChassisLine-1,B,P0017,S001,432,387
L0000229,2025-07-10,ChassisLine-1,A,P0032,S005,465,398
L0000230,2025-07-10,BodyLine-1,A,P0009,S011,227,162
L0000231,2025-07-10,TrimLine-1,A,P0029,S008,140,123
L0000232,2025-07-10,BodyLine-1,B,P0016,S007,493,388
L0000233,2025-07-10,TrimLine-1,B,P0023,S004,395,320
L0000234,2025-07-10,BodyLine-2,C,P0019,S006,121,116
L0000235,2025-07-10,BodyLine-2,C,P0003,S007,352,271
L0000236,2025-07-10,BodyLine-1,B,P0005,S001,386,285
L0000237,2025-07-10,ChassisLine-1,A,P0013,S007,243,218
L0000238,2025-07-10,Final-1,B,P0025,S010,184,138
L0000239,2025-07-10,TrimLine-1,B,P0027,S005,297,280
L0000240,2025-07-10,Final-1,A,P0004,S006,384,374
L0000241,2025-07-10,ChassisLine-1,A,P0028,S003,127,97
L0000242,2025-07-11,ChassisLine-1,A,P0032,S005,339,293
L0000243,2025-07-11,Final-1,A,P0029,S008,210,151
L0000244,2025-07-11,BodyLine-1,A,P0005,S001,377,344
L0000245,2025-07-11,TrimLine-1,A,P0030,S009,465,393
L0000246,2025-07-11,BodyLine-2,C,P0034,S006,445,325
L0000247,2025-07-11,ChassisLine-1,A,P0022,S012,330,253
L0000248,2025-07-11,BodyLine-2,B,P0035,S005,425,394
L0000249,2025-07-11,BodyLine-2,B,P0031,S006,328,305
L0000250,2025-07-11,TrimLine-1,A,P0025,S010,378,359
L0000251,2025-07-11,ChassisLine-1,A,P0021,S001,490,351
L0000252,2025-07-11,ChassisLine-1,C,P0013,S007,260,189
L0000253,2025-07-11,BodyLine-1,B,P0007,S007,329,292
L0000254,2025-07-11,TrimLine-1,B,P0012,S001,335,263
L0000255,2025-07-11,ChassisLine-1,B,P0036,S003,406,315
L0000256,2025-07-11,ChassisLine-1,A,P0028,S003,168,126
L0000257,2025-07-11,TrimLine-1,C,P0004,S006,439,329
L0000258,2025-07-11,TrimLine-1,A,P0011,S011,346,267
L0000259,2025-07-11,Final-1,A,P0024,S002,154,142
L0000260,2025-07-11,ChassisLine-1,A,P0017,S001,330,241
L0000261,2025-07-11,BodyLine-1,B,P0033,S001,447,423
L0000262,2025-07-11,BodyLine-1,B,P0009,S011,378,283
L0000263,2025-07-11,TrimLine-1,B,P0023,S004,480,383
L0000264,2025-07-11,BodyLine-2,A,P0010,S005,240,217
L0000265,2025-07-11,Final-1,A,P0018,S001,387,281
L0000266,2025-07-11,BodyLine-2,A,P0016,S007,289,214
L0000267,2025-07-11,ChassisLine-1,A,P0015,S008,467,388
L0000268,2025-07-12,BodyLine-1,B,P0007,S007,147,135
L0000269,2025-07-12,TrimLine-1,B,P0012,S001,228,197
L0000270,2025-07-12,BodyLine-1,B,P0009,S011,249,197
L0000271,2025-07-12,ChassisLine-1,B,P0008,S007,517,457
L0000272,2025-07-12,TrimLine-1,C,P0024,S002,298,236
L0000273,2025-07-12,BodyLine-2,B,P0010,S005,503,376
L0000274,2025-07-12,TrimLine-1,B,P0023,S004,188,153
L0000275,2025-07-12,BodyLine-2,B,P0003,S007,422,336
L0000276,2025-07-12,Final-1,C,P0006,S009,309,249
L0000277,2025-07-12,ChassisLine-1,A,P0022,S012,509,359
L0000278,2025-07-12,Final-1,C,P0025,S010,335,313
L0000279,2025-07-12,ChassisLine-1,B,P0017,S001,369,267
L0000280,2025-07-12,TrimLine-1,C,P0027,S005,363,305
L0000281,2025-07-12,Final-1,B,P0001,S001,134,105
L0000282,2025-07-12,ChassisLine-1,A,P0013,S007,264,191
L0000283,2025-07-12,BodyLine-1,A,P0031,S006,323,300
L0000284,2025-07-12,BodyLine-2,A,P0034,S006,360,303
L0000285,2025-07-12,TrimLine-1,B,P0029,S008,349,299
L0000286,2025-07-12,BodyLine-2,A,P0026,S012,492,360
L0000287,2025-07-12,BodyLine-2,B,P0019,S006,389,330
L0000288,2025-07-12,Final-1,B,P0018,S001,436,342
L0000289,2025-07-12,BodyLine-1,A,P0016,S007,129,95
L0000290,2025-07-12,TrimLine-1,A,P0030,S009,510,448
L0000291,2025-07-13,TrimLine-1,B,P0006,S009,238,195
L0000292,2025-07-13,ChassisLine-1,A,P0032,S005,149,136
L0000293,2025-07-13,BodyLine-2,A,P0034,S006,396,284
L0000294,2025-07-13,Final-1,B,P0018,S001,211,161
L0000295,2025-07-13,ChassisLine-1,A,P0022,S012,189,167
L0000296,2025-07-13,Final-1,A,P0029,S008,172,163
L0000297,2025-07-13,BodyLine-2,B,P0007,S007,261,221
L0000298,2025-07-13,BodyLine-2,B,P0019,S006,413,378
L0000299,2025-07-13,ChassisLine-1,A,P0015,S008,286,238
L0000300,2025-07-13,Final-1,B,P0014,S003,352,313
L0000301,2025-07-13,BodyLine-2,B,P0003,S007,206,144
L0000302,2025-07-13,Final-1,B,P0002,S010,199,142
L0000303,2025-07-13,BodyLine-2,B,P0035,S005,163,139
L0000304,2025-07-13,ChassisLine-1,B,P0020,S006,457,332
L0000305,2025-07-13,BodyLine-2,A,P0016,S007,465,357
L0000306,2025-07-13,Final-1,B,P0012,S001,270,218
L0000307,2025-07-13,ChassisLine-1,B,P0017,S001,434,412
L0000308,2025-07-13,BodyLine-1,A,P0005,S001,383,369
L0000309,2025-07-13,Final-1,A,P0024,S002,221,206
L0000310,2025-07-13,BodyLine-2,A,P0009,S011,432,402
L0000311,2025-07-13,TrimLine-1,B,P0023,S004,478,419
L0000312,2025-07-13,ChassisLine-1,B,P0008,S007,146,123
L0000313,2025-07-13,TrimLine-1,A,P0004,S006,515,424
L0000314,2025-07-13,BodyLine-2,A,P0031,S006,153,137
L0000315,2025-07-13,TrimLine-1,B,P0025,S010,162,115
L0000316,2025-07-13,ChassisLine-1,B,P0036,S003,275,228
L0000317,2025-07-14,ChassisLine-1,B,P0036,S003,275,205
L0000318,2025-07-14,BodyLine-2,A,P0035,S005,168,126
L0000319,2025-07-14,Final-1,A,P0030,S009,516,458
L0000320,2025-07-14,Final-1,C,P0014,S003,458,438
L0000321,2025-07-14,BodyLine-2,B,P0016,S007,208,202
L0000322,2025-07-14,ChassisLine-1,B,P0020,S006,343,257
L0000323,2025-07-14,BodyLine-2,A,P0031,S006,338,329
L0000324,2025-07-14,BodyLine-2,B,P0003,S007,411,300
L0000325,2025-07-14,TrimLine-1,B,P0004,S006,447,339
L0000326,2025-07-14,BodyLine-1,A,P0019,S006,256,208
L0000327,2025-07-14,BodyLine-1,B,P0033,S001,323,253
L0000328,2025-07-14,BodyLine-1,A,P0009,S011,157,135
L0000329,2025-07-14,TrimLine-1,B,P0025,S010,184,152
L0000330,2025-07-14,Final-1,B,P0001,S001,416,393
L0000331,2025-07-14,BodyLine-2,A,P0010,S005,280,258
L0000332,2025-07-14,TrimLine-1,A,P0018,S001,416,386
L0000333,2025-07-14,ChassisLine-1,B,P0013,S007,395,318
L0000334,2025-07-14,BodyLine-1,B,P0005,S001,122,111
L0000335,2025-07-14,ChassisLine-1,A,P0021,S001,418,316
L0000336,2025-07-14,ChassisLine-1,C,P0032,S005,267,211
L0000337,2025-07-14,ChassisLine-1,A,P0022,S012,242,228
L0000338,2025-07-14,TrimLine-1,A,P0024,S002,274,241
L0000339,2025-07-14,ChassisLine-1,B,P0008,S007,206,152
L0000340,2025-07-14,Final-1,A,P0006,S009,398,278
L0000341,2025-07-14,BodyLine-2,A,P0007,S007,192,155
L0000342,2025-07-14,TrimLine-1,B,P0023,S004,312,274
L0000343,2025-07-14,ChassisLine-1,A,P0017,S001,351,300
L0000344,2025-07-15,ChassisLine-1,B,P0022,S012,355,266
L0000345,2025-07-15,TrimLine-1,C,P0025,S010,186,166
L0000346,2025-07-15,BodyLine-2,B,P0031,S006,229,193
L0000347,2025-07-15,BodyLine-1,B,P0010,S005,142,133
L0000348,2025-07-15,BodyLine-2,C,P0019,S006,456,342
L0000349,2025-07-15,TrimLine-1,A,P0004,S006,494,443
L0000350,2025-07-15,BodyLine-2,A,P0003,S007,411,344
L0000351,2025-07-15,ChassisLine-1,A,P0013,S007,411,375
L0000352,2025-07-15,Final-1,A,P0030,S009,172,139
L0000353,2025-07-15,BodyLine-2,B,P0026,S012,502,361
L0000354,2025-07-15,ChassisLine-1,A,P0017,S001,232,179
L0000355,2025-07-15,TrimLine-1,A,P0006,S009,434,422
L0000356,2025-07-15,BodyLine-2,B,P0016,S007,299,274
L0000357,2025-07-15,BodyLine-2,A,P0009,S011,461,328
L0000358,2025-07-15,ChassisLine-1,B,P0028,S003,344,274
L0000359,2025-07-15,ChassisLine-1,A,P0036,S003,428,309
L0000360,2025-07-15,BodyLine-1,A,P0034,S006,385,373
L0000361,2025-07-15,TrimLine-1,C,P0023,S004,277,258
L0000362,2025-07-15,ChassisLine-1,B,P0015,S008,369,309
L0000363,2025-07-15,TrimLine-1,A,P0029,S008,381,287
L0000364,2025-07-15,BodyLine-2,A,P0005,S001,243,234
L0000365,2025-07-15,BodyLine-2,A,P0033,S001,165,122
L0000366,2025-07-15,Final-1,A,P0014,S003,155,138
L0000367,2025-07-16,ChassisLine-1,A,P0036,S003,222,214
L0000368,2025-07-16,BodyLine-2,C,P0009,S011,428,302
L0000369,2025-07-16,ChassisLine-1,A,P0015,S008,305,291
L0000370,2025-07-16,ChassisLine-1,B,P0020,S006,319,232
L0000371,2025-07-16,Final-1,B,P0030,S009,278,201
L0000372,2025-07-16,ChassisLine-1,A,P0022,S012,198,148
L0000373,2025-07-16,ChassisLine-1,A,P0032,S005,262,238
L0000374,2025-07-16,BodyLine-1,B,P0016,S007,439,355
L0000375,2025-07-16,Final-1,C,P0006,S009,328,270
L0000376,2025-07-16,Final-1,B,P0025,S010,246,231
L0000377,2025-07-16,BodyLine-1,C,P0005,S001,187,157
L0000378,2025-07-16,ChassisLine-1,B,P0017,S001,133,106
L0000379,2025-07-16,ChassisLine-1,B,P0028,S003,448,352
L0000380,2025-07-16,Final-1,B,P0011,S011,153,144
L0000381,2025-07-16,Final-1,B,P0014,S003,247,241
L0000382,2025-07-16,BodyLine-1,C,P0019,S006,387,339
L0000383,2025-07-16,Final-1,C,P0012,S001,511,451
L0000384,2025-07-16,BodyLine-2,A,P0033,S001,343,290
L0000385,2025-07-16,ChassisLine-1,B,P0021,S001,476,343
L0000386,2025-07-16,TrimLine-1,C,P0029,S008,254,198
L0000387,2025-07-16,Final-1,B,P0001,S001,404,318
L0000388,2025-07-16,BodyLine-1,C,P0003,S007,380,299
L0000389,2025-07-16,BodyLine-2,B,P0026,S012,451,358
L0000390,2025-07-17,Final-1,A,P0027,S005,150,119
L0000391,2025-07-17,BodyLine-2,B,P0031,S006,242,183
L0000392,2025-07-17,BodyLine-1,B,P0005,S001,283,258
L0000393,2025-07-17,BodyLine-2,C,P0009,S011,426,392
L0000394,2025-07-17,TrimLine-1,C,P0006,S009,380,359
L0000395,2025-07-17,ChassisLine-1,A,P0013,S007,187,151
L0000396,2025-07-17,ChassisLine-1,A,P0017,S001,210,169
L0000397,2025-07-17,ChassisLine-1,A,P0028,S003,285,263
L0000398,2025-07-17,TrimLine-1,A,P0024,S002,136,123
L0000399,2025-07-17,Final-1,C,P0023,S004,170,152
L0000400,2025-07-17,ChassisLine-1,C,P0032,S005,450,403
L0000401,2025-07-17,Final-1,A,P0018,S001,505,456
L0000402,2025-07-17,ChassisLine-1,A,P0036,S003,451,351
L0000403,2025-07-17,TrimLine-1,A,P0025,S010,207,151
L0000404,2025-07-17,BodyLine-2,A,P0026,S012,216,151
L0000405,2025-07-17,BodyLine-2,A,P0003,S007,449,323
L0000406,2025-07-17,BodyLine-1,A,P0007,S007,417,297
L0000407,2025-07-17,BodyLine-2,C,P0033,S001,470,372
L0000408,2025-07-17,ChassisLine-1,A,P0008,S007,515,450
L0000409,2025-07-18,ChassisLine-1,A,P0032,S005,435,382
L0000410,2025-07-18,TrimLine-1,B,P0011,S011,161,130
L0000411,2025-07-18,BodyLine-1,C,P0016,S007,225,174
L0000412,2025-07-18,BodyLine-1,B,P0010,S005,322,282
L0000413,2025-07-18,Final-1,C,P0030,S009,121,86
L0000414,2025-07-18,ChassisLine-1,B,P0021,S001,482,369
L0000415,2025-07-18,Final-1,C,P0025,S010,252,210
L0000416,2025-07-18,BodyLine-2,B,P0009,S011,298,248
L0000417,2025-07-18,TrimLine-1,B,P0018,S001,122,85
L0000418,2025-07-18,ChassisLine-1,A,P0028,S003,134,97
L0000419,2025-07-18,ChassisLine-1,A,P0020,S006,441,379
L0000420,2025-07-18,Final-1,A,P0002,S010,137,106
L0000421,2025-07-18,BodyLine-2,A,P0033,S001,366,267
L0000422,2025-07-18,BodyLine-1,C,P0003,S007,349,247
L0000423,2025-07-18,BodyLine-2,B,P0035,S005,517,380
L0000424,2025-07-18,BodyLine-2,A,P0026,S012,275,248
