measure_id,timestamp,lot_id,part_id,supplier_id,plant_line,shift,dimension_name,value_mm,nominal,lsl,usl,is_out_of_spec,deviation,tool_id,operator_id,eo_active
M000000021,2025-07-01T07:39:00,L0000003,P0010,S005,BodyLine-1,A,BracketHoleDia_mm,71.6989,71.633,70.846,72.42,0,0.0659,T03,O026,
M000000022,2025-07-01T14:24:00,L0000003,P0010,S005,BodyLine-1,A,BracketHoleDia_mm,71.9667,71.633,70.846,72.42,0,0.3337,T03,O026,
M000000023,2025-07-01T19:10:00,L0000003,P0010,S005,BodyLine-1,A,BracketHoleDia_mm,71.3467,71.633,70.846,72.42,0,-0.2863,T03,O026,
M000000024,2025-07-01T17:49:00,L0000003,P0010,S005,BodyLine-1,A,BracketHoleDia_mm,71.9954,71.633,70.846,72.42,0,0.3624,T03,O026,
M000000025,2025-07-01T09:46:00,L0000003,P0010,S005,BodyLine-1,A,BracketHoleDia_mm,71.4325,71.633,70.846,72.42,0,-0.2005,T03,O026,
M000000026,2025-07-01T06:12:00,L0000003,P0010,S005,BodyLine-1,A,BracketHoleDia_mm,71.8578,71.633,70.846,72.42,0,0.2248,T03,O026,
M000000027,2025-07-01T09:03:00,L0000003,P0010,S005,BodyLine-1,A,BracketHoleDia_mm,71.3866,71.633,70.846,72.42,0,-0.2464,T03,O026,
M000000028,2025-07-01T20:15:00,L0000003,P0010,S005,BodyLine-1,A,BracketHoleDia_mm,72.0727,71.633,70.846,72.42,0,0.4397,T03,O026,
M000000029,2025-07-01T13:38:00,L0000003,P0010,S005,BodyLine-1,A,BracketHoleDia_mm,71.6459,71.633,70.846,72.42,0,0.0129,T03,O026,
M000000030,2025-07-01T11:52:00,L0000003,P0010,S005,BodyLine-1,A,BracketHoleDia_mm,71.9514,71.633,70.846,72.42,0,0.3184,T03,O026,
M000000031,2025-07-01T10:04:00,L0000003,P0010,S005,BodyLine-1,A,BracketHoleDia_mm,72.0734,71.633,70.846,72.42,0,0.4404,T03,O026,
M000000032,2025-07-01T06:35:00,L0000003,P0010,S005,BodyLine-1,A,BracketHoleDia_mm,71.5381,71.633,70.846,72.42,0,-0.0949,T03,O026,
M000000033,2025-07-01T15:55:00,L0000003,P0010,S005,BodyLine-1,A,BracketHoleDia_mm,71.3136,71.633,70.846,72.42,0,-0.3194,T03,O026,
M000000034,2025-07-01T13:21:00,L0000003,P0010,S005,BodyLine-1,A,BracketHoleDia_mm,71.3243,71.633,70.846,72.42,0,-0.3087,T03,O026,
M000000035,2025-07-01T17:38:00,L0000003,P0010,S005,BodyLine-1,A,BracketHoleDia_mm,71.8371,71.633,70.846,72.42,0,0.2041,T03,O026,
M000000036,2025-07-01T20:25:00,L0000003,P0010,S005,BodyLine-1,A,BracketHoleDia_mm,71.7965,71.633,70.846,72.42,0,0.1635,T03,O026,
M000000037,2025-07-01T06:31:00,L0000004,P0017,S001,ChassisLine-1,A,Flush_mm,31.4077,31.061,30.648,31.475,0,0.3467,T02,O017,
M000000038,2025-07-01T18:45:00,L0000004,P0017,S001,ChassisLine-1,A,Flush_mm,31.1648,31.061,30.648,31.475,0,0.1038,T02,O017,
M000000039,2025-07-01T18:25:00,L0000004,P0017,S001,ChassisLine-1,A,Flush_mm,31.0575,31.061,30.648,31.475,0,-0.0035,T02,O017,
M000000040,2025-07-01T07:53:00,L0000004,P0017,S001,ChassisLine-1,A,Flush_mm,31.3408,31.061,30.648,31.475,0,0.2798,T02,O017,
M000000041,2025-07-01T20:19:00,L0000004,P0017,S001,ChassisLine-1,A,Flush_mm,31.0936,31.061,30.648,31.475,0,0.0326,T02,O017,
M000000042,2025-07-01T12:19:00,L0000004,P0017,S001,ChassisLine-1,A,Flush_mm,31.1091,31.061,30.648,31.475,0,0.0481,T02,O017,
M000000043,2025-07-01T21:42:00,L0000004,P0017,S001,ChassisLine-1,A,Flush_mm,31.3003,31.061,30.648,31.475,0,0.2393,T02,O017,
M000000044,2025-07-01T15:31:00,L0000004,P0017,S001,ChassisLine-1,A,Flush_mm,30.8695,31.061,30.648,31.475,0,-0.1915,T02,O017,
M000000045,2025-07-01T16:32:00,L0000004,P0017,S001,ChassisLine-1,A,Flush_mm,31.1744,31.061,30.648,31.475,0,0.1134,T02,O017,
M000000046,2025-07-01T21:42:00,L0000004,P0017,S001,ChassisLine-1,A,Flush_mm,31.1084,31.061,30.648,31.475,0,0.0474,T02,O017,
M000000047,2025-07-01T20:51:00,L0000004,P0017,S001,ChassisLine-1,A,Flush_mm,31.1256,31.061,30.648,31.475,0,0.0646,T02,O017,
M000000048,2025-07-01T07:19:00,L0000004,P0017,S001,ChassisLine-1,A,Flush_mm,31.0406,31.061,30.648,31.475,0,-0.0204,T02,O017,
M000000049,2025-07-01T16:31:00,L0000004,P0017,S001,ChassisLine-1,A,Flush_mm,31.2872,31.061,30.648,31.475,0,0.2262,T02,O017,
M000000050,2025-07-01T09:58:00,L0000004,P0017,S001,ChassisLine-1,A,Flush_mm,31.0994,31.061,30.648,31.475,0,0.0384,T02,O017,
M000000051,2025-07-01T12:56:00,L0000004,P0017,S001,ChassisLine-1,A,Flush_mm,31.2867,31.061,30.648,31.475,0,0.2257,T02,O017,
M000000052,2025-07-01T13:40:00,L0000004,P0017,S001,ChassisLine-1,A,Flush_mm,30.8167,31.061,30.648,31.475,0,-0.2443,T02,O017,
M000000053,2025-07-01T08:24:00,L0000004,P0017,S001,ChassisLine-1,A,Flush_mm,31.0917,31.061,30.648,31.475,0,0.0307,T02,O017,
M000000054,2025-07-01T21:02:00,L0000004,P0017,S001,ChassisLine-1,A,Flush_mm,30.9631,31.061,30.648,31.475,0,-0.0979,T02,O017,
M000000055,2025-07-01T16:46:00,L0000004,P0017,S001,ChassisLine-1,A,Flush_mm,30.9611,31.061,30.648,31.475,0,-0.0999,T02,O017,
M000000056,2025-07-01T09:17:00,L0000004,P0017,S001,ChassisLine-1,A,Flush_mm,30.9329,31.061,30.648,31.475,0,-0.1281,T02,O017,
M000000057,2025-07-01T07:22:00,L0000004,P0017,S001,ChassisLine-1,A,Flush_mm,31.2477,31.061,30.648,31.475,0,0.1867,T02,O017,
M000000058,2025-07-01T11:34:00,L0000005,P0004,S006,Final-1,B,ClipLength_mm,56.101,56.819,55.77,57.868,0,-0.718,T07,O002,
M000000059,2025-07-01T21:17:00,L0000005,P0004,S006,Final-1,B,ClipLength_mm,57.5738,56.819,55.77,57.868,0,0.7548,T07,O002,
M000000060,2025-07-01T19:15:00,L0000005,P0004,S006,Final-1,B,ClipLength_mm,56.5595,56.819,55.77,57.868,0,-0.2595,T07,O002,
M000000061,2025-07-01T10:53:00,L0000005,P0004,S006,Final-1,B,ClipLength_mm,56.8442,56.819,55.77,57.868,0,0.0252,T07,O002,
M000000062,2025-07-01T19:55:00,L0000005,P0004,S006,Final-1,B,ClipLength_mm,56.4854,56.819,55.77,57.868,0,-0.3336,T07,O002,
M000000063,2025-07-01T06:22:00,L0000005,P0004,S006,Final-1,B,ClipLength_mm,56.9459,56.819,55.77,57.868,0,0.1269,T07,O002,
M000000064,2025-07-01T16:59:00,L0000005,P0004,S006,Final-1,B,ClipLength_mm,56.1522,56.819,55.77,57.868,0,-0.6668,T07,O002,
M000000065,2025-07-01T14:33:00,L0000005,P0004,S006,Final-1,B,ClipLength_mm,56.3436,56.819,55.77,57.868,0,-0.4754,T07,O002,
M000000066,2025-07-01T10:14:00,L0000005,P0004,S006,Final-1,B,ClipLength_mm,56.6679,56.819,55.77,57.868,0,-0.1511,T07,O002,
M000000067,2025-07-01T18:32:00,L0000005,P0004,S006,Final-1,B,ClipLength_mm,56.7328,56.819,55.77,57.868,0,-0.0862,T07,O002,
M000000068,2025-07-01T12:41:00,L0000006,P0002,S010,Final-1,A,ClipLength_mm,65.5874,65.312,64.344,66.28,0,0.2754,T01,O008,
M000000069,2025-07-01T10:01:00,L0000006,P0002,S010,Final-1,A,ClipLength_mm,65.1464,65.312,64.344,66.28,0,-0.1656,T01,O008,
M000000070,2025-07-01T06:19:00,L0000006,P0002,S010,Final-1,A,ClipLength_mm,65.1577,65.312,64.344,66.28,0,-0.1543,T01,O008,
M000000071,2025-07-01T13:44:00,L0000006,P0002,S010,Final-1,A,ClipLength_mm,65.0569,65.312,64.344,66.28,0,-0.2551,T01,O008,
M000000072,2025-07-01T09:53:00,L0000006,P0002,S010,Final-1,A,ClipLength_mm,65.1478,65.312,64.344,66.28,0,-0.1642,T01,O008,
M000000073,2025-07-01T08:32:00,L0000007,P0035,S005,BodyLine-2,B,WeldPos_mm,44.6556,44.072,42.975,45.169,0,0.5836,T06,O022,
M000000074,2025-07-01T12:02:00,L0000007,P0035,S005,BodyLine-2,B,WeldPos_mm,44.4543,44.072,42.975,45.169,0,0.3823,T06,O022,
M000000075,2025-07-01T16:55:00,L0000007,P0035,S005,BodyLine-2,B,WeldPos_mm,44.1189,44.072,42.975,45.169,0,0.0469,T06,O022,
M000000076,2025-07-01T06:06:00,L0000007,P0035,S005,BodyLine-2,B,WeldPos_mm,44.2464,44.072,42.975,45.169,0,0.1744,T06,O022,
M000000077,2025-07-01T19:49:00,L0000007,P0035,S005,BodyLine-2,B,WeldPos_mm,44.1139,44.072,42.975,45.169,0,0.0419,T06,O022,
M000000078,2025-07-01T19:49:00,L0000007,P0035,S005,BodyLine-2,B,WeldPos_mm,44.289,44.072,42.975,45.169,0,0.217,T06,O022,
M000000079,2025-07-01T15:47:00,L0000007,P0035,S005,BodyLine-2,B,WeldPos_mm,44.1904,44.072,42.975,45.169,0,0.1184,T06,O022,
M000000080,2025-07-01T21:09:00,L0000007,P0035,S005,BodyLine-2,B,WeldPos_mm,43.8004,44.072,42.975,45.169,0,-0.2716,T06,O022,
M000000081,2025-07-01T17:19:00,L0000007,P0035,S005,BodyLine-2,B,WeldPos_mm,44.2672,44.072,42.975,45.169,0,0.1952,T06,O022,
M000000082,2025-07-01T20:42:00,L0000007,P0035,S005,BodyLine-2,B,WeldPos_mm,44.3781,44.072,42.975,45.169,0,0.3061,T06,O022,
M000000083,2025-07-01T07:53:00,L0000008,P0032,S005,ChassisLine-1,B,Flush_mm,79.7042,79.612,79.319,79.906,0,0.0922,T01,O021,
M000000084,2025-07-01T17:07:00,L0000008,P0032,S005,ChassisLine-1,B,Flush_mm,79.6095,79.612,79.319,79.906,0,-0.0025,T01,O021,
M000000085,2025-07-01T15:54:00,L0000008,P0032,S005,ChassisLine-1,B,Flush_mm,79.5847,79.612,79.319,79.906,0,-0.0273,T01,O021,
M000000086,2025-07-01T21:16:00,L0000008,P0032,S005,ChassisLine-1,B,Flush_mm,79.7586,79.612,79.319,79.906,0,0.1466,T01,O021,
M000000087,2025-07-01T12:44:00,L0000008,P0032,S005,ChassisLine-1,B,Flush_mm,79.6314,79.612,79.319,79.906,0,0.0194,T01,O021,
M000000088,2025-07-01T17:38:00,L0000008,P0032,S005,ChassisLine-1,B,Flush_mm,79.4599,79.612,79.319,79.906,0,-0.1521,T01,O021,
M000000089,2025-07-01T08:37:00,L0000008,P0032,S005,ChassisLine-1,B,Flush_mm,79.788,79.612,79.319,79.906,0,0.176,T01,O021,
M000000090,2025-07-01T19:11:00,L0000008,P0032,S005,ChassisLine-1,B,Flush_mm,79.8306,79.612,79.319,79.906,0,0.2186,T01,O021,
M000000091,2025-07-01T18:45:00,L0000008,P0032,S005,ChassisLine-1,B,Flush_mm,79.627,79.612,79.319,79.906,0,0.015,T01,O021,
M000000092,2025-07-01T12:23:00,L0000008,P0032,S005,ChassisLine-1,B,Flush_mm,79.8067,79.612,79.319,79.906,0,0.1947,T01,O021,
M000000093,2025-07-01T17:29:00,L0000008,P0032,S005,ChassisLine-1,B,Flush_mm,79.7412,79.612,79.319,79.906,0,0.1292,T01,O021,
M000000094,2025-07-01T19:03:00,L0000008,P0032,S005,ChassisLine-1,B,Flush_mm,79.4687,79.612,79.319,79.906,0,-0.1433,T01,O021,
M000000095,2025-07-01T21:05:00,L0000008,P0032,S005,ChassisLine-1,B,Flush_mm,79.9142,79.612,79.319,79.906,1,0.3022,T01,O021,
M000000096,2025-07-01T16:57:00,L0000009,P0026,S012,BodyLine-1,C,Gap_mm,55.9844,56.199,55.2,57.198,0,-0.2146,T05,O006,
M000000097,2025-07-01T13:16:00,L0000009,P0026,S012,BodyLine-1,C,Gap_mm,56.2486,56.199,55.2,57.198,0,0.0496,T05,O006,
M000000098,2025-07-01T15:58:00,L0000009,P0026,S012,BodyLine-1,C,Gap_mm,56.1915,56.199,55.2,57.198,0,-0.0075,T05,O006,
M000000099,2025-07-01T17:55:00,L0000009,P0026,S012,BodyLine-1,C,Gap_mm,56.2212,56.199,55.2,57.198,0,0.0222,T05,O006,
M000000100,2025-07-01T08:11:00,L0000009,P0026,S012,BodyLine-1,C,Gap_mm,56.2813,56.199,55.2,57.198,0,0.0823,T05,O006,
M000000101,2025-07-01T11:30:00,L0000009,P0026,S012,BodyLine-1,C,Gap_mm,56.1069,56.199,55.2,57.198,0,-0.0921,T05,O006,
M000000102,2025-07-01T10:00:00,L0000009,P0026,S012,BodyLine-1,C,Gap_mm,55.9966,56.199,55.2,57.198,0,-0.2024,T05,O006,
M000000103,2025-07-01T11:06:00,L0000009,P0026,S012,BodyLine-1,C,Gap_mm,55.788,56.199,55.2,57.198,0,-0.411,T05,O006,
M000000104,2025-07-01T19:04:00,L0000009,P0026,S012,BodyLine-1,C,Gap_mm,56.1267,56.199,55.2,57.198,0,-0.0723,T05,O006,
M000000105,2025-07-01T08:45:00,L0000010,P0016,S007,BodyLine-2,A,BracketHoleDia_mm,35.196,35.454,34.285,36.623,0,-0.258,T06,O014,
M000000106,2025-07-01T13:39:00,L0000010,P0016,S007,BodyLine-2,A,BracketHoleDia_mm,35.8422,35.454,34.285,36.623,0,0.3882,T06,O014,
M000000107,2025-07-01T19:22:00,L0000010,P0016,S007,BodyLine-2,A,BracketHoleDia_mm,35.3582,35.454,34.285,36.623,0,-0.0958,T06,O014,
M000000108,2025-07-01T14:57:00,L0000010,P0016,S007,BodyLine-2,A,BracketHoleDia_mm,35.5615,35.454,34.285,36.623,0,0.1075,T06,O014,
M000000109,2025-07-01T21:41:00,L0000010,P0016,S007,BodyLine-2,A,BracketHoleDia_mm,35.1517,35.454,34.285,36.623,0,-0.3023,T06,O014,
M000000110,2025-07-01T07:42:00,L0000010,P0016,S007,BodyLine-2,A,BracketHoleDia_mm,35.2519,35.454,34.285,36.623,0,-0.2021,T06,O014,
M000000111,2025-07-01T14:34:00,L0000010,P0016,S007,BodyLine-2,A,BracketHoleDia_mm,34.9924,35.454,34.285,36.623,0,-0.4616,T06,O014,
M000000112,2025-07-01T15:54:00,L0000010,P0016,S007,BodyLine-2,A,BracketHoleDia_mm,34.7287,35.454,34.285,36.623,0,-0.7253,T06,O014,
M000000113,2025-07-01T06:48:00,L0000010,P0016,S007,BodyLine-2,A,BracketHoleDia_mm,35.7717,35.454,34.285,36.623,0,0.3177,T06,O014,
M000000114,2025-07-01T21:18:00,L0000010,P0016,S007,BodyLine-2,A,BracketHoleDia_mm,35.2606,35.454,34.285,36.623,0,-0.1934,T06,O014,
M000000115,2025-07-01T07:13:00,L0000010,P0016,S007,BodyLine-2,A,BracketHoleDia_mm,35.5964,35.454,34.285,36.623,0,0.1424,T06,O014,
M000000116,2025-07-01T06:03:00,L0000010,P0016,S007,BodyLine-2,A,BracketHoleDia_mm,35.2141,35.454,34.285,36.623,0,-0.2399,T06,O014,
M000000117,2025-07-01T17:33:00,L0000010,P0016,S007,BodyLine-2,A,BracketHoleDia_mm,35.8242,35.454,34.285,36.623,0,0.3702,T06,O014,
M000000118,2025-07-01T17:06:00,L0000010,P0016,S007,BodyLine-2,A,BracketHoleDia_mm,34.9758,35.454,34.285,36.623,0,-0.4782,T06,O014,
M000000119,2025-07-01T14:49:00,L0000010,P0016,S007,BodyLine-2,A,BracketHoleDia_mm,35.7322,35.454,34.285,36.623,0,0.2782,T06,O014,
M000000120,2025-07-01T19:49:00,L0000010,P0016,S007,BodyLine-2,A,BracketHoleDia_mm,35.2544,35.454,34.285,36.623,0,-0.1996,T06,O014,
M000000121,2025-07-01T16:43:00,L0000010,P0016,S007,BodyLine-2,A,BracketHoleDia_mm,35.5877,35.454,34.285,36.623,0,0.1337,T06,O014,
M000000122,2025-07-01T13:09:00,L0000010,P0016,S007,BodyLine-2,A,BracketHoleDia_mm,35.6267,35.454,34.285,36.623,0,0.1727,T06,O014,
M000000123,2025-07-01T10:12:00,L0000010,P0016,S007,BodyLine-2,A,BracketHoleDia_mm,35.3759,35.454,34.285,36.623,0,-0.0781,T06,O014,
M000000124,2025-07-01T21:57:00,L0000010,P0016,S007,BodyLine-2,A,BracketHoleDia_mm,34.8654,35.454,34.285,36.623,0,-0.5886,T06,O014,
M000000125,2025-07-01T15:19:00,L0000011,P0007,S007,BodyLine-2,A,BracketHoleDia_mm,17.8813,17.762,17.179,18.346,0,0.1193,T01,O008,
M000000126,2025-07-01T08:18:00,L0000011,P0007,S007,BodyLine-2,A,BracketHoleDia_mm,18.2422,17.762,17.179,18.346,0,0.4802,T01,O008,
M000000127,2025-07-01T09:23:00,L0000011,P0007,S007,BodyLine-2,A,BracketHoleDia_mm,18.1768,17.762,17.179,18.346,0,0.4148,T01,O008,
M000000128,2025-07-01T18:11:00,L0000011,P0007,S007,BodyLine-2,A,BracketHoleDia_mm,18.8489,17.762,17.179,18.346,1,1.0869,T01,O008,
M000000129,2025-07-01T21:20:00,L0000011,P0007,S007,BodyLine-2,A,BracketHoleDia_mm,18.0495,17.762,17.179,18.346,0,0.2875,T01,O008,
M000000130,2025-07-01T18:22:00,L0000011,P0007,S007,BodyLine-2,A,BracketHoleDia_mm,17.2895,17.762,17.179,18.346,0,-0.4725,T01,O008,
M000000131,2025-07-01T17:53:00,L0000011,P0007,S007,BodyLine-2,A,BracketHoleDia_mm,17.8597,17.762,17.179,18.346,0,0.0977,T01,O008,
M000000132,2025-07-01T16:45:00,L0000011,P0007,S007,BodyLine-2,A,BracketHoleDia_mm,17.8936,17.762,17.179,18.346,0,0.1316,T01,O008,
M000000133,2025-07-01T21:25:00,L0000011,P0007,S007,BodyLine-2,A,BracketHoleDia_mm,17.6606,17.762,17.179,18.346,0,-0.1014,T01,O008,
M000000134,2025-07-01T06:17:00,L0000011,P0007,S007,BodyLine-2,A,BracketHoleDia_mm,17.4264,17.762,17.179,18.346,0,-0.3356,T01,O008,
M000000135,2025-07-01T15:18:00,L0000011,P0007,S007,BodyLine-2,A,BracketHoleDia_mm,18.0098,17.762,17.179,18.346,0,0.2478,T01,O008,
M000000136,2025-07-01T12:54:00,L0000011,P0007,S007,BodyLine-2,A,BracketHoleDia_mm,17.8715,17.762,17.179,18.346,0,0.1095,T01,O008,
M000000137,2025-07-01T07:50:00,L0000011,P0007,S007,BodyLine-2,A,BracketHoleDia_mm,17.5065,17.762,17.179,18.346,0,-0.2555,T01,O008,
M000000138,2025-07-01T10:18:00,L0000011,P0007,S007,BodyLine-2,A,BracketHoleDia_mm,18.0113,17.762,17.179,18.346,0,0.2493,T01,O008,
M000000139,2025-07-01T18:49:00,L0000011,P0007,S007,BodyLine-2,A,BracketHoleDia_mm,18.0048,17.762,17.179,18.346,0,0.2428,T01,O008,
M000000140,2025-07-01T08:28:00,L0000011,P0007,S007,BodyLine-2,A,BracketHoleDia_mm,17.0937,17.762,17.179,18.346,1,-0.6683,T01,O008,
M000000141,2025-07-01T21:09:00,L0000011,P0007,S007,BodyLine-2,A,BracketHoleDia_mm,17.979,17.762,17.179,18.346,0,0.217,T01,O008,
M000000142,2025-07-01T08:47:00,L0000011,P0007,S007,BodyLine-2,A,BracketHoleDia_mm,18.1441,17.762,17.179,18.346,0,0.3821,T01,O008,
M000000143,2025-07-01T11:51:00,L0000012,P0020,S006,ChassisLine-1,A,Gap_mm,57.0045,57.049,56.112,57.987,0,-0.0445,T04,O025,
M000000144,2025-07-01T17:34:00,L0000012,P0020,S006,ChassisLine-1,A,Gap_mm,57.2302,57.049,56.112,57.987,0,0.1812,T04,O025,
M000000145,2025-07-01T11:43:00,L0000012,P0020,S006,ChassisLine-1,A,Gap_mm,57.1738,57.049,56.112,57.987,0,0.1248,T04,O025,
M000000146,2025-07-01T15:40:00,L0000012,P0020,S006,ChassisLine-1,A,Gap_mm,57.2454,57.049,56.112,57.987,0,0.1964,T04,O025,
M000000147,2025-07-01T12:52:00,L0000012,P0020,S006,ChassisLine-1,A,Gap_mm,56.9294,57.049,56.112,57.987,0,-0.1196,T04,O025,
M000000148,2025-07-01T15:22:00,L0000012,P0020,S006,ChassisLine-1,A,Gap_mm,56.9943,57.049,56.112,57.987,0,-0.0547,T04,O025,
M000000149,2025-07-01T19:25:00,L0000012,P0020,S006,ChassisLine-1,A,Gap_mm,56.8767,57.049,56.112,57.987,0,-0.1723,T04,O025,
M000000150,2025-07-01T09:23:00,L0000012,P0020,S006,ChassisLine-1,A,Gap_mm,57.1862,57.049,56.112,57.987,0,0.1372,T04,O025,
M000000151,2025-07-01T15:39:00,L0000012,P0020,S006,ChassisLine-1,A,Gap_mm,57.0698,57.049,56.112,57.987,0,0.0208,T04,O025,
M000000152,2025-07-01T17:55:00,L0000012,P0020,S006,ChassisLine-1,A,Gap_mm,57.046,57.049,56.112,57.987,0,-0.003,T04,O025,
M000000153,2025-07-01T07:03:00,L0000012,P0020,S006,ChassisLine-1,A,Gap_mm,56.9355,57.049,56.112,57.987,0,-0.1135,T04,O025,
M000000154,2025-07-01T14:31:00,L0000012,P0020,S006,ChassisLine-1,A,Gap_mm,56.9863,57.049,56.112,57.987,0,-0.0627,T04,O025,
M000000155,2025-07-01T08:32:00,L0000013,P0027,S005,Final-1,A,PinDepth_mm,26.2983,26.93,26.654,27.205,1,-0.6317,T05,O015,
M000000156,2025-07-01T17:43:00,L0000013,P0027,S005,Final-1,A,PinDepth_mm,26.97,26.93,26.654,27.205,0,0.04,T05,O015,
M000000157,2025-07-01T06:23:00,L0000013,P0027,S005,Final-1,A,PinDepth_mm,26.8796,26.93,26.654,27.205,0,-0.0504,T05,O015,
M000000158,2025-07-01T11:15:00,L0000013,P0027,S005,Final-1,A,PinDepth_mm,27.2309,26.93,26.654,27.205,1,0.3009,T05,O015,
M000000159,2025-07-01T09:05:00,L0000013,P0027,S005,Final-1,A,PinDepth_mm,26.8399,26.93,26.654,27.205,0,-0.0901,T05,O015,
M000000160,2025-07-01T18:02:00,L0000013,P0027,S005,Final-1,A,PinDepth_mm,26.851,26.93,26.654,27.205,0,-0.079,T05,O015,
M000000161,2025-07-01T10:34:00,L0000013,P0027,S005,Final-1,A,PinDepth_mm,26.262,26.93,26.654,27.205,1,-0.668,T05,O015,
M000000162,2025-07-01T10:47:00,L0000013,P0027,S005,Final-1,A,PinDepth_mm,26.6118,26.93,26.654,27.205,1,-0.3182,T05,O015,
M000000163,2025-07-01T13:09:00,L0000014,P0025,S010,Final-1,B,PinDepth_mm,56.8641,57.298,56.156,58.441,0,-0.4339,T04,O021,
M000000164,2025-07-01T13:25:00,L0000014,P0025,S010,Final-1,B,PinDepth_mm,57.1058,57.298,56.156,58.441,0,-0.1922,T04,O021,
M000000165,2025-07-01T16:44:00,L0000014,P0025,S010,Final-1,B,PinDepth_mm,57.5163,57.298,56.156,58.441,0,0.2183,T04,O021,
M000000166,2025-07-01T13:57:00,L0000014,P0025,S010,Final-1,B,PinDepth_mm,57.6584,57.298,56.156,58.441,0,0.3604,T04,O021,
M000000167,2025-07-01T17:25:00,L0000014,P0025,S010,Final-1,B,PinDepth_mm,57.6917,57.298,56.156,58.441,0,0.3937,T04,O021,
M000000168,2025-07-01T13:30:00,L0000014,P0025,S010,Final-1,B,PinDepth_mm,57.3035,57.298,56.156,58.441,0,0.0055,T04,O021,
M000000169,2025-07-01T10:50:00,L0000014,P0025,S010,Final-1,B,PinDepth_mm,58.0494,57.298,56.156,58.441,0,0.7514,T04,O021,
M000000170,2025-07-01T20:55:00,L0000014,P0025,S010,Final-1,B,PinDepth_mm,57.6521,57.298,56.156,58.441,0,0.3541,T04,O021,
M000000171,2025-07-01T19:03:00,L0000014,P0025,S010,Final-1,B,PinDepth_mm,56.8575,57.298,56.156,58.441,0,-0.4405,T04,O021,
M000000172,2025-07-01T09:54:00,L0000014,P0025,S010,Final-1,B,PinDepth_mm,57.1784,57.298,56.156,58.441,0,-0.1196,T04,O021,
